"PC1","PC2","PC3","NoiseCondition"
0.641964214755206,0.646401418744022,-0.051977485019756,"Baseline"
0.662530438126657,0.631627782614879,-0.0541990661333586,"Baseline"
0.662485312003774,0.63166959371594,-0.0541513338262683,"Baseline"
0.660424197050313,0.633579296569064,-0.051971182605139,"Baseline"
0.658566973535346,0.635300086105555,-0.050006698233577,"Baseline"
0.653767570979382,0.639746918505185,-0.0449301141616864,"Baseline"
0.660651716089873,0.635509374650427,-0.0424456364792607,"Baseline"
0.67655380561395,0.62291635593629,-0.0494999195982851,"Baseline"
0.666356149078089,0.632364879779662,-0.0387133143621326,"Baseline"
0.680268053871981,0.621615844318907,-0.0436624729404318,"Baseline"
0.676663138108197,0.624955938430498,-0.0398493612596477,"Baseline"
0.725538991336031,0.58181145022285,-0.0817817529884139,"Baseline"
0.689060892155308,0.615609822295679,-0.0431969218319617,"Baseline"
0.68039338359339,0.625781488048138,-0.0242626305728842,"Baseline"
0.677412134817909,0.62854373053386,-0.0211092047305061,"Baseline"
0.694464179775704,0.614885233560469,-0.0293798570475968,"Baseline"
0.694416837991084,0.614929097557966,-0.029329781116909,"Baseline"
0.680768786710673,0.62757454580238,-0.0148935093237898,"Baseline"
0.731603944037408,0.582614686442566,-0.058898361502475,"Baseline"
0.703021382051682,0.60909753742672,-0.0286650611659026,"Baseline"
0.698074949108599,0.615821482461786,-0.0136667500619806,"Baseline"
0.697433928968196,0.616415412455346,-0.0129887088690233,"Baseline"
0.710272288048953,0.60666105868757,-0.0168023208862245,"Baseline"
0.707774218675046,0.608975616739095,-0.014159979668504,"Baseline"
0.705317481017277,0.611251879354403,-0.011561357211477,"Baseline"
0.681513807112793,0.633306905394499,0.01361705830731,"Baseline"
0.718434870131407,0.601238993450928,-0.0156701141777598,"Baseline"
0.711910107082556,0.607284439188644,-0.00876852428601446,"Baseline"
0.710582199742178,0.608514796783375,-0.0073639258647521,"Baseline"
0.692930354068073,0.624869915642772,0.0113073728112231,"Baseline"
0.718835026758907,0.603009116118988,-0.00632717603671416,"Baseline"
0.717867362818157,0.603905694247934,-0.00530362627374406,"Baseline"
0.707259925421151,0.613733895934295,0.00591642603595471,"Baseline"
0.725516757390853,0.598959117120252,-0.00362859376403546,"Baseline"
0.72292238190689,0.601362906513696,-0.000884384436976215,"Baseline"
0.706319955305071,0.616745697947539,0.0166768877127828,"Baseline"
0.736732042625214,0.590708604149947,-0.00572539400309722,"Baseline"
0.735237621654487,0.592093243074027,-0.00414466523358288,"Baseline"
0.732393724757212,0.594728223723503,-0.00113652379879828,"Baseline"
0.727058270314401,0.599671728963245,0.00450707094551332,"Baseline"
0.73891276583581,0.590828962898627,0.00173414389192102,"Baseline"
0.732853254263774,0.596443335118973,0.00814361248125802,"Baseline"
0.745003819440235,0.587326249049046,0.00505751676188227,"Baseline"
0.740063117353782,0.591904000937697,0.0102835608837444,"Baseline"
0.750544716636873,0.584333276424646,0.00896281940836417,"Baseline"
0.743001519382519,0.59132234090847,0.0169416614800718,"Baseline"
0.733614156906068,0.600020095914555,0.0268711754704735,"Baseline"
0.758386367938139,0.579208565989812,0.0104344917217585,"Baseline"
0.753898403905272,0.583366838532491,0.0151816506563968,"Baseline"
0.752500742316375,0.584661826140793,0.01666003186684,"Baseline"
0.749744277689927,0.587215797404173,0.0195756915253466,"Baseline"
0.762736833704092,0.577318574203918,0.0155989771871893,"Baseline"
0.759971227138591,0.579881015827994,0.0185243067622405,"Baseline"
0.773514741687381,0.56947330820097,0.0139648141952255,"Baseline"
0.769035724760981,0.573623290902891,0.0187025092981367,"Baseline"
0.764370812127929,0.577945513178728,0.0236368362051985,"Baseline"
0.764265277293208,0.578043295291576,0.0237484660288543,"Baseline"
0.771924039567378,0.573088038625568,0.025413589821062,"Baseline"
0.763166899059614,0.581201868562515,0.034676484420679,"Baseline"
0.742210449784017,0.60061883068088,0.0568432385854631,"Baseline"
0.775198191751726,0.57219529307002,0.0317165495697035,"Baseline"
0.771082651541234,0.578149383799092,0.0458359811125683,"Baseline"
0.768614100098264,0.580436592344063,0.0484470996403223,"Baseline"
0.782987430660305,0.569260028033225,0.0430098664157242,"Baseline"
0.798176846004538,0.557327329556109,0.0367094167890274,"Baseline"
0.789878669299402,0.565015911749407,0.0454868408945919,"Baseline"
0.799570293896882,0.558177129386634,0.0450016977795084,"Baseline"
0.807200167184529,0.553248639485816,0.0466973789936314,"Baseline"
0.800902331885084,0.559083827872401,0.0533589353010566,"Baseline"
0.791381675724,0.567905084641171,0.063429441131256,"Baseline"
0.810873116772157,0.551986392686495,0.0525785094579404,"Baseline"
0.810469225890376,0.552360613235423,0.0530057263861562,"Baseline"
0.807333454589184,0.555266026827505,0.0563225989458343,"Baseline"
0.817478736550589,0.550147796627846,0.0651238033892808,"Baseline"
0.80452055068544,0.562154057839249,0.0788303677369358,"Baseline"
0.823396381460397,0.546805752651778,0.0686305998847364,"Baseline"
0.841714622260303,0.534114959463268,0.068786829838973,"Baseline"
0.837025473953839,0.538459637029426,0.073746792110475,"Baseline"
0.833120796608929,0.542077471858861,0.0778769776041693,"Baseline"
0.787012176796721,0.584798894388498,0.126648524101068,"Baseline"
0.830856848515522,0.546315990759743,0.0900378814053779,"Baseline"
