"Observation","Cluster","NoiseCondition"
961,2,"7 dBm"
962,2,"7 dBm"
963,2,"7 dBm"
964,2,"7 dBm"
965,2,"7 dBm"
966,2,"7 dBm"
967,2,"7 dBm"
968,2,"7 dBm"
969,2,"7 dBm"
970,2,"7 dBm"
971,2,"7 dBm"
972,2,"7 dBm"
973,2,"7 dBm"
974,2,"7 dBm"
975,2,"7 dBm"
976,2,"7 dBm"
977,2,"7 dBm"
978,2,"7 dBm"
979,2,"7 dBm"
980,2,"7 dBm"
981,2,"7 dBm"
982,2,"7 dBm"
983,2,"7 dBm"
984,2,"7 dBm"
985,2,"7 dBm"
986,2,"7 dBm"
987,2,"7 dBm"
988,2,"7 dBm"
989,2,"7 dBm"
990,2,"7 dBm"
991,2,"7 dBm"
992,2,"7 dBm"
993,2,"7 dBm"
994,2,"7 dBm"
995,2,"7 dBm"
996,2,"7 dBm"
997,2,"7 dBm"
998,2,"7 dBm"
999,2,"7 dBm"
1000,2,"7 dBm"
1001,2,"7 dBm"
1002,2,"7 dBm"
1003,2,"7 dBm"
1004,2,"7 dBm"
1005,2,"7 dBm"
1006,2,"7 dBm"
1007,2,"7 dBm"
1008,2,"7 dBm"
1009,2,"7 dBm"
1010,2,"7 dBm"
1011,2,"7 dBm"
1012,2,"7 dBm"
1013,2,"7 dBm"
1014,2,"7 dBm"
1015,2,"7 dBm"
1016,2,"7 dBm"
1017,2,"7 dBm"
1018,2,"7 dBm"
1019,2,"7 dBm"
1020,2,"7 dBm"
1021,2,"7 dBm"
1022,2,"7 dBm"
1023,2,"7 dBm"
1024,2,"7 dBm"
1025,2,"7 dBm"
1026,2,"7 dBm"
1027,2,"7 dBm"
1028,2,"7 dBm"
1029,2,"7 dBm"
1030,3,"7 dBm"
1031,3,"7 dBm"
1032,3,"7 dBm"
1033,3,"7 dBm"
1034,3,"7 dBm"
1035,3,"7 dBm"
1036,3,"7 dBm"
1037,3,"7 dBm"
1038,3,"7 dBm"
1039,3,"7 dBm"
1040,3,"7 dBm"
1041,3,"7 dBm"
1042,3,"7 dBm"
1043,3,"7 dBm"
1044,3,"7 dBm"
1045,3,"7 dBm"
1046,3,"7 dBm"
1047,3,"7 dBm"
1048,3,"7 dBm"
1049,3,"7 dBm"
1050,3,"7 dBm"
1051,3,"7 dBm"
1052,3,"7 dBm"
1053,3,"7 dBm"
1054,3,"7 dBm"
1055,3,"7 dBm"
1056,3,"7 dBm"
1057,3,"7 dBm"
1058,3,"7 dBm"
1059,3,"7 dBm"
1060,3,"7 dBm"
1061,3,"7 dBm"
1062,3,"7 dBm"
1063,3,"7 dBm"
1064,3,"7 dBm"
1065,3,"7 dBm"
1066,3,"7 dBm"
1067,3,"7 dBm"
1068,3,"7 dBm"
1069,3,"7 dBm"
1070,3,"7 dBm"
1071,3,"7 dBm"
1072,3,"7 dBm"
1073,3,"7 dBm"
1074,3,"7 dBm"
1075,3,"7 dBm"
1076,3,"7 dBm"
1077,3,"7 dBm"
1078,3,"7 dBm"
1079,3,"7 dBm"
1080,3,"7 dBm"
1081,3,"7 dBm"
1082,3,"7 dBm"
1083,3,"7 dBm"
1084,3,"7 dBm"
1085,3,"7 dBm"
1086,3,"7 dBm"
1087,3,"7 dBm"
1088,3,"7 dBm"
1089,3,"7 dBm"
1090,3,"7 dBm"
1091,3,"7 dBm"
1092,3,"7 dBm"
1093,3,"7 dBm"
1094,3,"7 dBm"
1095,3,"7 dBm"
1096,3,"7 dBm"
1097,3,"7 dBm"
1098,3,"7 dBm"
1099,3,"7 dBm"
1100,3,"7 dBm"
1101,3,"7 dBm"
1102,3,"7 dBm"
1103,3,"7 dBm"
1104,3,"7 dBm"
1105,3,"7 dBm"
1106,3,"7 dBm"
1107,3,"7 dBm"
1108,3,"7 dBm"
1109,3,"7 dBm"
1110,3,"7 dBm"
1111,3,"7 dBm"
1112,3,"7 dBm"
1113,3,"7 dBm"
1114,3,"7 dBm"
1115,3,"7 dBm"
1116,3,"7 dBm"
1117,3,"7 dBm"
1118,3,"7 dBm"
1119,3,"7 dBm"
1120,3,"7 dBm"
1121,3,"7 dBm"
1122,3,"7 dBm"
1123,3,"7 dBm"
1124,3,"7 dBm"
1125,3,"7 dBm"
1126,3,"7 dBm"
1127,3,"7 dBm"
1128,3,"7 dBm"
1129,3,"7 dBm"
1130,3,"7 dBm"
1131,3,"7 dBm"
1132,3,"7 dBm"
1133,3,"7 dBm"
1134,3,"7 dBm"
1135,3,"7 dBm"
1136,3,"7 dBm"
1137,3,"7 dBm"
1138,3,"7 dBm"
1139,3,"7 dBm"
1140,3,"7 dBm"
1141,3,"7 dBm"
1142,3,"7 dBm"
1143,3,"7 dBm"
1144,3,"7 dBm"
1145,3,"7 dBm"
1146,3,"7 dBm"
1147,3,"7 dBm"
1148,3,"7 dBm"
1149,3,"7 dBm"
1150,3,"7 dBm"
1151,3,"7 dBm"
1152,3,"7 dBm"
1153,3,"7 dBm"
1154,3,"7 dBm"
1155,3,"7 dBm"
1156,3,"7 dBm"
1157,3,"7 dBm"
1158,3,"7 dBm"
1159,3,"7 dBm"
1160,3,"7 dBm"
1161,3,"7 dBm"
1162,3,"7 dBm"
1163,3,"7 dBm"
1164,3,"7 dBm"
1165,3,"7 dBm"
1166,3,"7 dBm"
1167,3,"7 dBm"
1168,3,"7 dBm"
